Dag,Dato,Hva økt 1,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
mandag,9.juni,Langtur klassisk,02:30,,
tirsdag,10.juni,Hvile,00:00,,
onsdag,11.juni,Klassisk,01:00,Viktig å holde rolig tempo dagene før intervall,
torsdag,12.juni,Intervall 5x7min i3/terskel skate,01:30,"Nok en intervall vi skal ha hvor kontroll er fokus, skal kunne gå samme tempo på alle drag eller progressivt",
fredag,13.juni,Hvile,00:00,,
lørdag,14.juni,Løp 30min + styrke 45min,01:15,Fokusere på overkropp,
søndag,15.juni,Fotballkamp,01:15,,8t
,,,,,
mandag,16.juni,TG3 Skate,01:30,,
tirsdag,17.juni,Fotballtrening,01:30,,
onsdag,18.juni,Klassisk,01:15,,
torsdag,19.juni,Intervall 3x6min + 3x4min i3 + i4 løp,01:30,Kontrollert første 3 dragene og skru opp farten mer på siste 3,
fredag,20.juni,Hvile,00:00,,
lørdag,21.juni,Klassisk m/hurtighet,02:00,Legg inn 6 hurtighetsdrag ila økten,
søndag,22.juni,Kamp,01:30,,"9,25t"
,,,,,
mandag,23.juni,Skiskole: Bull superski,,,
tirsdag,24.juni,,,,
onsdag,25.juni,,,,
torsdag,26.juni,,,,
fredag,27.juni,Hvile,00:00,,
lørdag,28.juni,Intervall 4/5x7min skate i3/terskel,01:30,Holder med fire drag om du merker at kroppen er litt sliten etter skiskolen. Åpne kontrollert.,
søndag,29.juni,Styrke,01:15,,
,,,,,
mandag,30.juni,Hurtighet klassisk,01:30,,
tirsdag,1.juli,Intervall 5x4min løp i4,01:15,"Skal kunne gå relativt fort, men hold igjen på det aller siste giret. Viktig å klare disponering på i4-intervaller også",
onsdag,2.juli,Langtur skate,02:30,Gjerne gå to perioder på 5min uten staver i løpet av økta,
torsdag,3.juli,Valgfri: klassisk eller hvile,01:30,,
fredag,4.juli,Intervall 6-7-8-7-6min klassisk i3/terskel,01:30,"Lange drag, så viktig å ha kontroll hele veien. Gjerne gi en tilbakemeldig i etterkant om 7 og 8min blir for lenge",
lørdag,5.juli,Hvile,00:00,,
søndag,6.juli,Styrke,01:15,,"9,5t"
,,,,,
mandag,7.juli,Intervall 5-5-4-4-3-3min løp i4,01:15,"Mulighet for å løpe litt i i5 mot slutten om ønskelig, åpne kontrollert",
tirsdag,8.juli,Langtur løp,02:30,"Gjerne løp mest mulig i terrenget på langturene, som å spare bena mest mulig",
onsdag,9.juli,Hvile,00:00,,
torsdag,10.juli,Intervall 5x6min løp i3/terskel ,01:30,Styrke 01:15 økt 2,
fredag,11.juli,Valgfri: løp eller hvile,01:00,,
lørdag,12.juli,Langtur sykkel,02:30,,
søndag,13.juli,Skate,01:45,"Viktig at dagen før intervall er rolig, gjerne ligg så lavt som mulig i i1","11,75t"
,,,,,
mandag,14.juli,Intervall 5x4min klassisk i4,01:15,Styrke 01:15 økt 2,
tirsdag,15.juli,Langtur løp eller klassisk,02:30,Om klassisk: Gjerne gå to perioder på 5min uten staver i løpet av økta,
onsdag,16.juli,Hurtighet skate,01:15,,
torsdag,17.juli,Intervall 5x6min skate i3/terskel,01:30,Styrke 01:15 økt 2,
fredag,18.juli,Valgfri: løp eller hvile,01:00,,
lørdag,19.juli,Hvile,00:00,Avreise til utlandet: Vi gjør dette til en litt roligere periode.,
søndag,20.juli,Valgfri: løp eller hvile,01:00,,11t
,,,,,
mandag,21.juli,Utlandsferie,,"Ta å nyt en ukke som er skikkelig rolig. Om du ønsker kan du legge inn en kort økt med noen bakkedrag for å få opp pulsen, og evt en styrkeøkt. Likevel, ikke føl noe som helst press til å trene",
tirsdag,22.juli,,,,
onsdag,23.juli,,,,
torsdag,24.juli,,,,
fredag,25.juli,,,,
lørdag,26.juli,,,,
søndag,27.juli,,,,
,,,,,
mandag,28.juli,Fjelltur,,,
tirsdag,29.juli,,,,
onsdag,30.juli,,,,
torsdag,31.juli,,,,
fredag,1.august,,,,
lørdag,2.august,,,,
søndag,3.august,Hvile,00:00,,
,,,,,
mandag,4.august,Løp,01:00,,
tirsdag,5.august,Intervall 4/5x4min løp i4,01:15,"Hold igjen på det siste giret, men skal likevel gå relativt fort :-)",
onsdag,6.august,Styrke,01:15,,
torsdag,7.august,Klassisk,02:00,Gå gjerne to perioder på 5min uten staver,
fredag,8.august,Hvile,00:00,,
lørdag,9.august,Fotballcup,,,
søndag,10.august,,,,
,,,,,
mandag,11.august,Valgfri: klassisk eller hvile,01:00,,
tirsdag,12.august,Løp,01:15,Husk å hold dagene før hardøkt rolige nok,
onsdag,13.august,Intervall 5x6min løp i3/terskel,01:30,"Kontrollert økt, unngå å bygge så mye syre.",
torsdag,14.august,Styrke,01:15,,
fredag,15.august,Klassisk,01:00,,
lørdag,16.august,Intervall skate 4x5min i4,01:15,Om du ønsker kan du fint gi litt mer gass siste to dragene og få litt i i5,
søndag,17.august,Hvile,00:00,,"7,25t"
,,,,,
mandag,18.august,Sykkel,01:15,,
tirsdag,19.august,Intervall 6x3min intensiv stak,01:15,,
onsdag,20.august,Styrke,01:15,,
torsdag,21.august,Hvile,00:00,,
fredag,22.august,Sykkel,01:30,,
lørdag,23.august,Intervall 4x5min halvintensiv stak,01:15,,
søndag,24.august,Styrke,01:15,,
,,,,,
mandag,25.august,TG1- Klassisk,01:30,,
tirsdag,26.august,Teknikk skate (strikk og øvelser),01:30,,
onsdag,27.august,Intervall 6-4-2-6-4-2 staking,01:15,,
torsdag,28.august,Fotballtrening,01:30,,
fredag,29.august,Hvile,00:00,,
lørdag,30.august,Sprintøkt klassisk,02:00,"Prøve å komme seg raskt ut fra start, ofte en stor fordel å være først ut etter 50-100m",
søndag,31.august,Kamp,00:45,,"8,5t"
,,,,,
mandag,1.september,Fotballtrening,01:30,,
tirsdag,2.september,Vestmarka opp klassisk,01:30,,
onsdag,3.september,Styrke,01:15,,
torsdag,4.september,Felthurtighet skate,01:30,,
fredag,5.september,Hvile,00:00,,
lørdag,6.september,Intervall 5x5min i3/terskel løp,01:30,"Husk å holde tempoet kontrollert, selv om vi innimellom har 5min drag i i4. i3 i dag :-)",
søndag,7.september,Kamp,01:15,,"8,5t"
,,,,,
mandag,8.september,Fotballtrening,01:30,,
tirsdag,9.september,Intervall 7-6-5-6-7min i3/terskel skate,01:30,"Viktig å holde tempoet jevnt hele veien, også på 5min-draget i midten.",
onsdag,10.september,Styrke,01:15,,
torsdag,11.september,Hurtighet klassisk eller Askerspurten,01:30,"Du kan selv velge hva du vil delta på, men får nok hardt med hardøkt tirsdag og cup i helgen",
fredag,12.september,Hvile,00:00,,
lørdag,13.september,Fotballcup,,,
søndag,14.september,Fotballcup,,,9t
,,,,,
mandag,15.september,Fotballtrening eller styrke,01:30,Styrke dersom dere ikke har fotballtrening,
tirsdag,16.september,Kamp ,01:30,,
onsdag,17.september,Skate,01:15,,
torsdag,18.september,Teknikk klassisk,01:30,,
fredag,19.september,Hvile,00:00,,
lørdag,20.september,Oslo Marathon 10km,01:30,,
søndag,21.september,Kamp,01:15,,"8,5t"
,,,,,
mandag,22.september,Fotballtrening,01:30,,
tirsdag,23.september,"Lett (Hurtighet, spenst, og litt lek)",01:30,,
onsdag,24.september,Hvile,00:00,,
torsdag,25.september,Terrengløp Asker Sk,01:30,,
fredag,26.september,Hurtighet skate,01:30,"Blir mye trening på samling, så viktig å styre intensiteten godt. Hold det som er rolig i i1",
lørdag,27.september,Langtur klassisk + rolig skate,04:00,,
søndag,28.september,Intervall 5x6min i3/terskel løp + klassisk,03:00,,13t
,,,,,
mandag,29.september,Langtur løp,02:30,,
tirsdag,30.september,Hvile,00:00,"Dobbel hvile, nullstille kroppen etter samling og en periode med mange konkurranser",
onsdag,1.oktober,Hvile,00:00,,
torsdag,2.oktober,Løp m/ 6 hurtighetsdrag,01:00,"Vekke kroppen etter to hvile dager, kjør 6 hurtighetsdrag fordelt utover i økten",
fredag,3.oktober,Intervall 5x4min i4 klassisk,01:15,,
lørdag,4.oktober,Langtur klassisk eller skate ,02:30,,
søndag,5.oktober,Styrke,01:15,,"8,5t"
,,,,,
mandag,6.oktober,Fotball,01:15,,
tirsdag,7.oktober,Intervall 4/5x7min i3/terskel skate,01:30,"Forholdsvis lange drag, så viktig å ha kontroll fra start av",
onsdag,8.oktober,Hvile,00:00,,
torsdag,9.oktober,Hurtighet + teknikk klassisk + 30min styrke,02:00,,
fredag,10.oktober,Intervall 3-4-5-4-3min i4 løp,01:15,"Skal kunne holde et høyt tempo, men spar på det aller siste giret",
lørdag,11.oktober,Langtur løp m/langkjøringsgruppa,02:30,"Blir bollestopp underveis, så ta med penger. Fokus på å holde seg mest mulig i i1",
søndag,12.oktober,Kamp ,01:15,,"9,75t"
,,,,,
mandag,13.oktober,Fotball + 30min styrke,01:45,,
tirsdag,14.oktober,Hurtighet & spenst + Asker Sk Stafetten løp,01:30,,
onsdag,15.oktober,Rennforberedende klassisk,01:00,Kjør 5 stigningsdrag eller hurtighetsdrag,
torsdag,16.oktober,Motbakkeløp,01:45,,
fredag,17.oktober,Hvile,00:00,,
lørdag,18.oktober,Distanseøkt skate,01:30,,
søndag,19.oktober,Kamp ,01:15,,"8,75t"
,,,,,
mandag,20.oktober,Fotball + 30min styrke,01:45,,
tirsdag,21.oktober,Teknikk skate,01:30,,
onsdag,22.oktober,Hvile,00:00,Kan bytte hvile og styrke fredag,
torsdag,23.oktober,Intervall 5x6min i3/terskel klassisk,01:30,,
fredag,24.oktober,Styrke,01:15,,
lørdag,25.oktober,Langtur klassisk,02:30,Husk å holde intensiteten lav på langturer. i1 som gjelder.,
søndag,26.oktober,Kamp ,01:15,,"9,75t"
,,,,,
mandag,27.oktober,Fotball + 30min styrke,01:45,,
tirsdag,28.oktober,Felthurtighet skate,01:30,,
onsdag,29.oktober,Klassisk,01:00,,
torsdag,30.oktober,Intervall 5/6x3min i5 hufs løping/m staver,01:30,"Viktig å åpne med en viss kontroll, slik at man klarer å løpe siste draget også",
fredag,31.oktober,Hvile,00:00,,
lørdag,1.november,Skate 1t + 45min styrke,01:45,,
søndag,2.november,Intervall 3x6min i3 + 3x4min i4 valgfri stilart/løp,01:30,"Husk å skill godt på intensiteten. Første tre veldig kontrollerte (6min), siste tre økes farten (4min)",
,,,,,
mandag,3.november,Styrke m/Asker Sk,01:15,,
tirsdag,4.november,Intervall (4min + 6min (45/15))x3 i4/i5 hufs m/staver,01:30,"Første 3-4 dragene må være i i4, deretter kan man øke farten og bevege seg inn i i5",
onsdag,5.november,Skate,01:30,,
torsdag,6.november,Hurtighet & Spenst løp,01:30,,
fredag,7.november,Hvile,00:00,,
lørdag,8.november,Intervall skate 5x4min i4,01:15,"Hard intervall både i forkant og etterkant av denne, så legg deg mot det lavere siktet i4",
søndag,9.november,Klassisk,01:45,,
,,,,,
mandag,10.november,Styrke m/Asker Sk,01:15,,
tirsdag,11.november,Intervall HYROX i5,01:30,,
onsdag,12.november,Skate,01:30,,
torsdag,13.november,Hurtighet løp,01:30,,
fredag,14.november,Hvile,00:00,,
lørdag,15.november,Intervall klassisk 3x4min i4 + 4x2min i5,01:15,"Viktig å skille på tempo, første 3 dragene må tas med litt kontroll, siste 4 (2-minutterne) tar man ut det man har",
søndag,16.november,Langtur løp,02:30,,
,,,,,
mandag,17.november,Styrke m/Asker Sk,01:15,,
tirsdag,18.november,Hurtighet & Spenst løp,01:30,,
onsdag,19.november,Klassisk,01:15,Husk å hold dagene før intervaller rolig (i1),
torsdag,20.november,Intervall 3x6min i3 + 3x4min i4 løp,01:30,"Todelt intervall, første del veldig kontrollert, deretter lov å skru opp tempo litt",
fredag,21.november,Hvile,00:00,,
lørdag,22.november,Skate,01:30,,
søndag,23.november,Intervall klassisk eller løp 4x5min i4,01:15,"Prøv å hold pulsen stabilt i i4, og ikke bli overivrig",
,,,,,
mandag,24.november,Styrke m/Asker Sk,01:15,,
tirsdag,25.november,Hurtighet løp,01:30,,
onsdag,26.november,Hvile,00:00,,
torsdag,27.november,Intervall 6x2min i5 løp m/staver,01:30,"Beinhard økt, i dag er det lov å ta i det man har. Hold likvel et lite knepp igjen første 2 dragene",
fredag,28.november,Tilvenningsøkt klassisk Trysil,01:30,,
lørdag,29.november,Teknikk: Langtur skate + klassisk Trysil,04:00,,
søndag,30.november,Intervall skate 5x6min i3/terskel Trysil,01:30,Intervall for å komme inn i det tekniske. Viktig at man ikke går for fort.,
,,,,,
mandag,1.desember,Styrke m/Asker Sk,01:15,,
tirsdag,2.desember,Hvile,00:00,,
onsdag,3.desember,Intervall skate 5x4min i4,01:30,"Dønn kontroll. Mange i5 økter i denne perioden, så hold igjen på siste giret i dag",
torsdag,4.desember,Hurtighet klassisk,01:30,,
fredag,5.desember,Skate,01:00,"Samle overskudd frem mot Hakadal, så sørg for at øktene fremover ikke blir lenger enn planlagt og hold riktig intensitet",
lørdag,6.desember,Intervall klassisk 5x3min i5 (4min i3 oppvarmingsdrag),01:15,"Kjør et oppvarmingsdrag først, deretter er det bare å gi gass. Prøv å hold en viss progresjon fra lav i5 til høy i5",
søndag,7.desember,Skate,01:45,,
,,,,,
mandag,8.desember,Styrke m/Asker Sk,01:15,,
tirsdag,9.desember,Hvile,00:00,,
onsdag,10.desember,Intervall skate 4x4min i4 + 3x2min i5,01:30,"Veldig viktig at de første fire dragene er med ""bremsen"" på, kun siste tre 2-minuttersdragene som er bånn gass",
torsdag,11.desember,"Basisferdigheter (svinger, utfor, balanse) klassisk",01:30,,
fredag,12.desember,Rennforberedende skate,01:00,"Kjør de forberedelsene du er trygg på. Noen varianter: 5 stigningsdrag (ca 30sek), 5 hurtighetsdrag, 3x2min i4",
lørdag,13.desember,Hakadalsrennet fristil,01:30,Masse lykke til! Veldig viktig å holde fokus på de tekniske oppgavene og ikke stresse. Da man går raskest :-),
søndag,14.desember,Konnerudrennet klassisk,01:30,,

,,,,,
